연번,시도명,시군구명,법정동명,관리번호,시설물명,세부위치,위도,경도,데이터기준일자,이미지명,비고
1,경기도,성남시 분당구,구미동,성남-rtbs-001,가로등,동성교통 북쪽,37.342505,127.105724,2022.10.19,성남-rtbs-001-01.jpeg,
2,경기도,성남시 분당구,구미동,성남-rtbs-001,신호제어기,동성교통 북쪽,37.342499,127.105732,2022.10.19,성남-rtbs-001-02.jpeg,
3,경기도,성남시 분당구,구미동,성남-rtbs-001,신호등,동성교통 북쪽,37.342481,127.105788,2022.10.19,성남-rtbs-001-03.jpeg,
4,경기도,성남시 분당구,구미동,성남-rtbs-002,가로등,노블빌리지1 오피스텔 101동 맞은편,37.338276,127.112034,2022.10.19,성남-rtbs-002-01.jpeg,
5,경기도,성남시 분당구,구미동,성남-rtbs-003,가로등,한라스위트빌라 A동 맞은편,37.343371,127.109198,2022.10.19,성남-rtbs-003-01.jpeg,
6,경기도,성남시 중원구,하대원동,성남-rtbs-005,CCTV,금호자동차공업사 앞,37.428297,127.133615,2022.10.20,성남-rtbs-005-01.jpeg,
7,경기도,성남시 중원구,하대원동,성남-rtbs-005,가로등,금호자동차공업사 앞,37.428293,127.133589,2022.10.20,성남-rtbs-005-02.jpeg,
8,경기도,성남시 중원구,하대원동,성남-rtbs-005,가로수,금호자동차공업사 앞,37.428286,127.133561,2022.10.20,성남-rtbs-005-03.jpeg,
9,경기도,성남시 중원구,하대원동,성남-rtbs-005,점멸기,금호자동차공업사 앞,37.428281,127.133516,2022.10.20,성남-rtbs-005-04.jpeg,
10,경기도,성남시 중원구,금광동,성남-rtbs-006,방범카메라,신구대다문화가족지원센터 앞,37.44733,127.169607,2022.10.17,성남-rtbs-006-01.jpeg,
11,경기도,성남시 중원구,금광동,성남-rtbs-006,전봇대,신구대다문화가족지원센터 앞,37.447328,127.169596,2022.10.17,성남-rtbs-006-02.jpeg,
12,경기도,성남시 중원구,금광동,성남-rtbs-006,가로수,신구대다문화가족지원센터 앞,37.447321,127.169585,2022.10.17,성남-rtbs-006-03.jpeg,
13,경기도,성남시 중원구,금광동,성남-rtbs-006,그늘막,신구대다문화가족지원센터 앞,37.447306,127.16957,2022.10.17,성남-rtbs-006-04.jpeg,
14,경기도,성남시 분당구,구미동,성남-rtbs-007,표지판,미금로,37.341926,127.116321,2022.10.20,성남-rtbs-007-01.jpeg,
15,경기도,성남시 분당구,구미동,성남-rtbs-007,가로등,미금로,37.341975,127.116314,2022.10.20,성남-rtbs-007-02.jpeg,
16,경기도,성남시 분당구,구미동,성남-rtbs-007,신호등,하얀마을 그랜드빌 210동 맞은편,37.342011,127.116348,2022.10.20,성남-rtbs-007-03.jpeg,
17,경기도,성남시 분당구,구미동,성남-rtbs-007,그늘막,하얀마을 그랜드빌 211동 맞은편,37.342029,127.116365,2022.10.20,성남-rtbs-007-04.jpeg,
18,경기도,성남시 분당구,구미동,성남-rtbs-008,안전울타리,SK공식대리점앞,37.349853,127.108547,2022.10.17,성남-rtbs-008-01.jpeg,
19,경기도,성남시 분당구,구미동,성남-rtbs-008,CCTV,SK공식대리점앞,37.349826,127.108621,2022.10.17,성남-rtbs-008-02.jpeg,
20,경기도,성남시 분당구,구미동,성남-rtbs-008,신호등,SK공식대리점앞,37.349791,127.108637,2022.10.17,성남-rtbs-008-03.jpeg,
21,경기도,성남시 분당구,구미동,성남-rtbs-008,제어기,SK공식대리점앞,37.349819,127.108617,2022.10.17,성남-rtbs-008-04.jpeg,
22,경기도,성남시 분당구,구미동,성남-rtbs-009,신호등,우리은행 앞,37.335731,127.109192,2022.10.19,성남-rtbs-009-01.jpeg,
23,경기도,성남시 분당구,구미동,성남-rtbs-009,가로등,우리은행 앞,37.335751,127.109201,2022.10.19,성남-rtbs-009-02.jpeg,
24,경기도,성남시 분당구,구미동,성남-rtbs-010,가로등,분당2영업소 앞,37.339853,127.104834,2022.10.19,성남-rtbs-010-01.jpeg,
25,경기도,성남시 분당구,구미동,성남-rtbs-010,신호등,분당2영업소 앞,37.339853,127.104783,2022.10.19,성남-rtbs-010-02.jpeg,
26,경기도,성남시 분당구,구미동,성남-rtbs-013,신호등,무지개로,37.333977,127.117781,2022.10.20,성남-rtbs-013-01.jpeg,
27,경기도,성남시 분당구,구미동,성남-rtbs-013,가로등,무지개로,37.333955,127.117831,2022.10.20,성남-rtbs-013-02.jpeg,
28,경기도,성남시 분당구,구미동,성남-rtbs-013,신호등,미금로,37.333927,127.117859,2022.10.20,성남-rtbs-013-03.jpeg,
29,경기도,성남시 분당구,구미동,성남-rtbs-014,가로등,생활맥주 앞,37.338262,127.110502,2022.10.19,성남-rtbs-014-01.jpeg,
30,경기도,성남시 분당구,구미동,성남-rtbs-014,신호제어기,생활맥주 앞,37.338262,127.110471,2022.10.19,성남-rtbs-014-02.jpeg,
31,경기도,성남시 분당구,구미동,성남-rtbs-014,신호등,생활맥주 앞,37.338275,127.110429,2022.10.19,성남-rtbs-014-03.jpeg,
32,경기도,성남시 분당구,구미동,성남-rtbs-016,신호등,분당앤스퀘어 앞,37.339861,127.106103,2022.10.19,성남-rtbs-016-01.jpeg,
33,경기도,성남시 분당구,구미동,성남-rtbs-017,CCTV,하얀마을 사거리,37.346334,127.115886,2022.10.19,성남-rtbs-017-01.jpeg,
34,경기도,성남시 분당구,구미동,성남-rtbs-020,CCTV,불곡중학교,37.346693,127.119921,2022.10.21,성남-rtbs-020-01.jpeg,
35,경기도,성남시 분당구,구미동,성남-rtbs-020,신호등,불곡중학교,37.346677,127.119892,2022.10.21,성남-rtbs-020-02.jpeg,
36,경기도,성남시 분당구,구미동,성남-rtbs-021,신호등,우방도무스빌라 맞은편,37.344981,127.124423,2022.10.21,성남-rtbs-021-01.jpeg,
37,경기도,성남시 분당구,구미동,성남-rtbs-021,반사경,우방도무스빌라 맞은편,37.344981,127.124423,2022.10.21,성남-rtbs-021-02.jpeg,
38,경기도,성남시 분당구,구미동,성남-rtbs-023,신호제어기,우리생활나눔 앞,37.336741,127.116826,2022.10.20,성남-rtbs-023-01.jpeg,
39,경기도,성남시 분당구,구미동,성남-rtbs-024,가로수,구미초등학교 옆,37.337901,127.119139,2022.10.20,성남-rtbs-024-01.jpeg,
40,경기도,성남시 분당구,구미동,성남-rtbs-024,가로등,구미초등학교 옆,37.337938,127.119139,2022.10.20,성남-rtbs-024-02.jpeg,
41,경기도,성남시 분당구,구미동,성남-rtbs-024,신호등,구미초등학교 옆,37.338024,127.119164,2022.10.20,성남-rtbs-024-03.jpeg,
42,경기도,성남시 수정구,태평동,성남-rtbs-026,신호등,카스광장,37.442372,127.131013,2022.10.18,성남-rtbs-026-01.jpeg,
43,경기도,성남시 수정구,태평동,성남-rtbs-026,전신주,카스광장,37.442367,127.131018,2022.10.18,성남-rtbs-026-02.jpeg,
44,경기도,성남시 분당구,구미동,성남-rtbs-027,표지판,빌라드와이107동,37.342551,127.124775,2022.10.21,성남-rtbs-027-01.jpeg,
45,경기도,성남시 분당구,구미동,성남-rtbs-027,가로수,빌라드와이108동,37.342557,127.124783,2022.10.21,성남-rtbs-027-02.jpeg,
46,경기도,성남시 분당구,구미동,성남-rtbs-027,신호등,빌라드와이109동,37.342571,127.124801,2022.10.21,성남-rtbs-027-03.jpeg,
47,경기도,성남시 중원구,하대원동,성남-rtbs-028,전봇대,쌍용자동차 부품대리점 중원상사 앞,37.431092,127.151124,2022.10.27,성남-rtbs-028-01.jpeg,
48,경기도,성남시 중원구,하대원동,성남-rtbs-028,가로수,쌍용자동차 부품대리점 중원상사 앞,37.431071,127.151133,2022.10.27,성남-rtbs-028-02.jpeg,
49,경기도,성남시 중원구,하대원동,성남-rtbs-028,신호등,쌍용자동차 부품대리점 중원상사 앞,37.431065,127.151131,2022.10.27,성남-rtbs-028-03.jpeg,
50,경기도,성남시 분당구,궁내동,성남-rtbs-029,CCTV,궁내로 40번길,37.370378,127.101435,2022.10.20,성남-rtbs-029-01.jpeg,
51,경기도,성남시 분당구,궁내동,성남-rtbs-029,전신주,궁내로 41번길,37.370381,127.101451,2022.10.20,성남-rtbs-029-02.jpeg,
52,경기도,성남시 분당구,궁내동,성남-rtbs-029,전봇대,궁내로 42번길,37.370369,127.101461,2022.10.20,성남-rtbs-029-03.jpeg,
53,경기도,성남시 분당구,궁내동,성남-rtbs-029,기둥,궁내로 43번길,37.370387,127.101457,2022.10.20,성남-rtbs-029-04.jpeg,
54,경기도,성남시 분당구,궁내동,성남-rtbs-029,기둥,궁내로 44번길,37.370376,127.101481,2022.10.20,성남-rtbs-029-05.jpeg,
55,경기도,성남시 분당구,궁내동,성남-rtbs-030,가로수,세븐일레븐 앞,37.363253,127.101368,2022.10.20,성남-rtbs-030-01.jpeg,
56,경기도,성남시 분당구,궁내동,성남-rtbs-030,가로등,세븐일레븐 앞,37.363224,127.101371,2022.10.20,성남-rtbs-030-02.jpeg,
57,경기도,성남시 분당구,궁내동,성남-rtbs-030,신호등,세븐일레븐 앞,37.363204,127.101368,2022.10.20,성남-rtbs-030-03.jpeg,
58,경기도,성남시 분당구,궁내동,성남-rtbs-030,음식물쓰레기통,세븐일레븐 부근,37.363064,127.101361,2022.10.20,성남-rtbs-030-04.jpeg,
59,경기도,성남시 분당구,구미동,성남-rtbs-031,표지판,파리바게트 앞,37.349848,127.109207,2022.10.17,성남-rtbs-031-01.jpeg,
60,경기도,성남시 분당구,구미동,성남-rtbs-031,신호등,파리바게트 앞,37.349831,127.109185,2022.10.17,성남-rtbs-031-02.jpeg,
61,경기도,성남시 분당구,금곡동,성남-rtbs-032,보안등,송명환치과의원 앞,37.352538,127.105941,2022.10.18,성남-rtbs-032-01.jpeg,
62,경기도,성남시 분당구,금곡동,성남-rtbs-032,고전압기,송명환치과의원 앞,37.352538,127.105941,2022.10.18,성남-rtbs-032-02.jpeg,
63,경기도,성남시 분당구,금곡동,성남-rtbs-033,보안등,청솔마을성원상떼빌 708동 옆,37.353182,127.109156,2022.10.18,성남-rtbs-033-01.jpeg,
64,경기도,성남시 분당구,금곡동,성남-rtbs-033,이정표,청솔마을성원상떼빌 708동 옆,37.353195,127.109158,2022.10.18,성남-rtbs-033-02.jpeg,
65,경기도,성남시 분당구,금곡동,성남-rtbs-033,표지판,청솔마을성원상떼빌 708동 옆,37.353213,127.109184,2022.10.18,성남-rtbs-033-03.jpeg,
66,경기도,성남시 분당구,금곡동,성남-rtbs-036,안전울타리,KT텔레콤앞,37.350215,127.109219,2022.10.17,성남-rtbs-036-01.jpeg,
67,경기도,성남시 분당구,금곡동,성남-rtbs-038,우체통,GS25앞,37.351218,127.109158,2022.10.17,성남-rtbs-038-01.jpeg,
68,경기도,성남시 분당구,금곡동,성남-rtbs-038,가로등,GS25앞,37.351218,127.109158,2022.10.17,성남-rtbs-038-02.jpeg,
69,경기도,성남시 분당구,금곡동,성남-rtbs-038,이정표,GS25앞,37.351269,127.109171,2022.10.17,성남-rtbs-038-03.jpeg,
70,경기도,성남시 분당구,금곡동,성남-rtbs-039,신호등,분당경영고등학교,37.356462,127.108794,2022.10.18,성남-rtbs-039-01.jpeg,
71,경기도,성남시 분당구,금곡동,성남-rtbs-039,선차일,분당경영고등학교,37.356481,127.108813,2022.10.18,성남-rtbs-039-02.jpeg,
72,경기도,성남시 분당구,금곡동,성남-rtbs-039,제어기,분당경영고등학교,37.356484,127.108822,2022.10.18,성남-rtbs-039-03.jpeg,
73,경기도,성남시 분당구,금곡동,성남-rtbs-040,신호등,청솔중학교 앞,37.356499,127.110244,2022.10.18,성남-rtbs-040-01.jpeg,
74,경기도,성남시 분당구,금곡동,성남-rtbs-040,가로수,청솔중학교 앞,37.356499,127.110264,2022.10.18,성남-rtbs-040-02.jpeg,
75,경기도,성남시 분당구,금곡동,성남-rtbs-040,보안등,청솔중학교 앞,37.356499,127.110275,2022.10.18,성남-rtbs-040-03.jpeg,
76,경기도,성남시 분당구,금곡동,성남-rtbs-041,신호등,청솔초등학교 앞,37.354371,127.114702,2022.10.18,성남-rtbs-041-01.jpeg,
77,경기도,성남시 분당구,금곡동,성남-rtbs-042,CCTV,청솔아파트 앞,37.355485,127.112689,2022.10.18,성남-rtbs-042-01.jpeg,
78,경기도,성남시 분당구,금곡동,성남-rtbs-042,신호등,청솔아파트 앞,37.355485,127.112689,2022.10.18,성남-rtbs-042-02.jpeg,
79,경기도,성남시 분당구,대장동,성남-rtbs-044,신호등,대장동 317-13,37.361761,127.067637,2022.10.21,성남-rtbs-044-01.jpeg,
80,경기도,성남시 분당구,대장동,성남-rtbs-044,신호등,대장동 317-13,37.361771,127.067629,2022.10.21,성남-rtbs-044-02.jpeg,
81,경기도,성남시 중원구,중앙동,성남-rtbs-045,전신주,가로수 좌측,37.441762,127.15303,2022.10.19,성남-rtbs-045-01.jpeg,
82,경기도,성남시 중원구,중앙동,성남-rtbs-045,가로수,신호등 좌측,37.441766,127.153041,2022.10.19,성남-rtbs-045-02.jpeg,
83,경기도,성남시 중원구,중앙동,성남-rtbs-045,신호등,명성부동산 앞,37.441775,127.153058,2022.10.19,성남-rtbs-045-03.jpeg,
84,경기도,성남시 분당구,동원동,성남-rtbs-046,신호등,주차장 앞,37.344642,127.101448,2022.10.21,성남-rtbs-046-01.jpeg,
85,경기도,성남시 분당구,동원동,성남-rtbs-046,그늘막,주차장 앞,37.344624,127.101445,2022.10.21,성남-rtbs-046-02.jpeg,
